                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                0.66542,                 1.0251,                 2.0863,                 1.0069,                 0.3803,                0.36328,                0.40822,                 0.3541,                 0.3803,                0.36328,                0.40822,                0.36359,                0.50224,                0.77258,                 3.1018,                0.97096,               0.054736,              0.0037358,              0.0037358
                     25,                0.60035,                0.87063,                 1.9904,                0.96362,                0.00361,                      1,                0.43036,                0.37596,                0.00361,                      1,                0.43036,                0.38195,                0.50876,                0.84766,                 3.0284,                0.97623,               0.052838,              0.0038378,              0.0038378
                     26,                0.70406,                 1.0612,                 2.0142,                 1.0211,                0.30482,                0.98635,                0.53248,                0.45422,                0.30482,                0.98635,                0.53248,                0.46301,                0.60867,                0.76453,                 3.0065,                 1.1025,               0.050936,              0.0039358,              0.0039358
                     27,                0.82457,                 1.0183,                 2.0671,                 1.1422,                0.30482,                0.98635,                0.53248,                0.45422,                0.30482,                0.98635,                0.53248,                0.46301,                0.60867,                0.76453,                 3.0065,                 1.1025,                0.04903,              0.0040299,              0.0040299
                     28,                0.65882,                0.86384,                 1.9129,                 1.0039,                0.24987,                      1,                0.46374,                0.39457,                0.24987,                      1,                0.46374,                0.41041,                0.55756,                 0.7659,                 2.9908,                0.99209,                0.04712,                0.00412,                0.00412
                     29,                0.69669,                0.94389,                 1.9311,                0.98304,                0.27556,                      1,                0.41081,                0.36771,                0.27556,                      1,                0.41081,                0.36286,                0.47514,                0.76164,                 2.9764,                0.94996,               0.045206,              0.0042061,              0.0042061
                     30,                0.61779,                0.93449,                 1.9069,                 0.9756,                0.27556,                      1,                0.41081,                0.36771,                0.27556,                      1,                0.41081,                0.36286,                0.47514,                0.76164,                 2.9764,                0.94996,               0.043288,              0.0042883,              0.0042883
                     31,                0.72215,                 0.9377,                 1.9969,                 1.0157,                0.00371,                      1,                0.42734,                 0.3759,                0.00371,                      1,                0.42734,                0.37377,                 0.5006,                0.79809,                 3.0034,                0.98093,               0.041367,              0.0043665,              0.0043665
                     32,                0.63348,                 0.8426,                 1.9027,                0.97243,                0.20116,                      1,                0.41646,                0.36542,                0.20116,                      1,                0.41646,                0.36873,                0.49488,                0.75753,                 2.9553,                0.96392,               0.039441,              0.0044408,              0.0044408
                     33,                0.70713,                0.91812,                 1.9199,                 1.0304,                0.20116,                      1,                0.41646,                0.36542,                0.20116,                      1,                0.41646,                0.36873,                0.49488,                0.75753,                 2.9553,                0.96392,               0.037511,              0.0045111,              0.0045111
                     34,                0.61483,                0.86123,                 1.8422,                0.99016,                 0.0037,                      1,                0.43338,                0.37452,                 0.0037,                      1,                0.43338,                0.38352,                0.52163,                0.74469,                 2.9291,                0.97928,               0.035577,              0.0045775,              0.0045775
